company_id,company_name,created_at,industry
C-101,Apex Finance Corp,2025-11-12 08:00:00,Finance
C-102,HealthPulse Systems,2025-12-05 10:30:00,Healthcare
C-103,EduStream Labs,2026-01-03 09:15:00,Education
C-104,Velo Retail Group,2026-01-15 14:20:00,Retail
C-105,Quantum Tech Solutions,2026-01-20 11:00:00,Technology
C-106,Starlight Logistics,2026-02-01 08:45:00,Logistics
C-107,Nova Manufacturing,2026-02-10 16:00:00,Manufacturing
C-108,Apex Legal Partners,2026-02-25 09:00:00,Finance
C-109,BioGen Research,2026-03-05 13:10:00,Healthcare
C-110,Apex Real Estate,2026-03-12 10:00:00,Finance